fid,imsi,license
438b28a7f27c40ff9a751d6a87ccc2aa,460020023012498,川C0Q117_蓝色
aa0313a475054e10b77f1350dc1b19fd,460008920516158,川CTQ515_蓝色
fd50074702b74bc5bdd5b666c58dc332,460000044960647,川CVW391_蓝色
67563ef1bf2f414eb613bd92fa4cba2b,460020400150537,川CSY308_蓝色
0b7a990c91254a78b8c71f78c82f2983,460023081262149,川CQH737_蓝色
753720feb1dd47eea85081b261edf15f,460110806910288,川AM394T_蓝色
d1903bfb0c064b82b89aec605011d6d7,460110508519954,川CSJ193_蓝色
dc0fb341c0e64dee94c7f2b338693a90,460028813320262,川CDJ626_蓝色
1f3bcaee260540708d4f5d2b7890c0ee,460022813769322,川C5B657_蓝色
99f9362e9d5b4066be32bfa130844f61,460000043952485,川C6T861_蓝色
52a81618194f4ca5846ccd58a3e8fb03,460110508279514,川CJ6838_蓝色
518073f7efc4440ba8c02a5f9a00d0b3,460009021222414,川CAA733_蓝色
0b567aefb41648229dbaf9f3342de308,460078804035154,川CQK597_蓝色
d47b0492cc784744b7308f86eade361d,460008542751515,川CJE288_蓝色
fc039bf1cdac4cec81699413d817ae86,460009021420225,川CSB177_蓝色
623c80fbd95b44f5a934428532bb0cb8,460110508452750,川CA3877_蓝色
081074fd02fd4e0dbc04524b587969f6,460110508311300,川CCL099_蓝色
8cc2e78ed078412da470fb161af4cc26,460110522486192,川CQX602_蓝色
700ebe9618ee4cfe80d8e5d2d5eb429c,460110522486192,川CQX602_蓝色
e32de326385842f6aee78710811bb354,460110508579134,川A1H7W2_蓝色
ec5b200817b54ed099c42069747c65eb,460110508652396,川CVG686_蓝色
50f7e10a17b34069b3c33e85086780d0,460110508472386,川CMU099_蓝色
8da2a5ecd1fe492e97233140803e6c61,460110508697785,川CAM995_蓝色
5cf718cfcb34496a8e68c6f6e5e64d0d,460110508669511,川AN5W80_蓝色
35ca98fee735405abb29c16a8e5d3451,460008522718129,川CCT663_蓝色
757bee39d22d42f9b6a5bf19f5e6ec8e,460110508604318,川C353H1_蓝色
189171a286da4bdd8a4daaa9c3152411,460022286265396,川C3W569_蓝色
b31d2b2179784787b563b5938c791cda,460110508484038,川CN6296_蓝色
401419f72c2549ef8b55de0baedbb377,460110671209322,川C02355_蓝色
86265e4da0804c8b9695de43e1b5094a,460009021223456,川CMC718_蓝色
b55bcd064a86457bb356d777a296508d,460029841777377,川C1H214_蓝色
4bfe611f2459409bb111bbb923cbe3d4,460110508556576,川CE2138_蓝色
4d7600c977e24479ac8d0f58d6198720,460110780207231,川CDF009_蓝色
fb66f1dea17d4783939fbc7aeba36d97,460008920523845,川CQ1327_蓝色
e1764c042fe24b25a6b87b9342969191,460000043966998,川A04X06_蓝色
8f996fdf015f4013bf25fc7d2ab229c9,460027083317729,川CCZ265_蓝色
fdd467ee36164fa3b80dba62b112fde8,460000043952938,川C0C152_蓝色
0354ff0b69364179a79e4bf183677214,460023081137712,川C81211_蓝色
3bb38df4392b4679af1945ca0701d516,460110730190647,川CB7092_蓝色
3f4b27415849449d826e44f875203096,460023820301035,川C19733_蓝色
b8c6322c7590443cbcfb8c58661cab17,460008532730662,川C8K850_蓝色
69cd1b3925824d60a243f7b50a080a98,460110856907100,川C7F567_蓝色
0824fcb3f9ad4eb89dba4aea453fdae5,460008582771207,川E90157_蓝色
a5c77bcc7cb749f9a2fbf13fae0909c9,460000044955871,川CC6692_蓝色
6167740af4f8494caf5114a15ff50269,460011308607869,川CA1761_蓝色
ec81bb5e60984e3884e666775fa645a0,460009021240975,川C6S226_蓝色
e67993fa91d7425e834a908fdfc901be,460110522526918,川CL0851_蓝色
153b12bc8a874423983719267aea0a98,460001670410474,川CLM326_蓝色
5a97bdbe65bf4a8da8a9baeb1c2d82d3,460008221744040,川C1D275_蓝色
03f14a6305fa44c190f8fdd45fe0b0de,460024028427209,川C1U156_蓝色
d7d38cf4c0ba4110b7e1837f5324bcc9,460020385180575,川CE2861_蓝色
cd38e0d9c07e41979ba3eb7a014083ec,460078750610978,川CYT923_蓝色
